, V1, I1
0,0.0,-1.5600000000000004e-13
1,0.01,-1.0500000000000001e-13
2,0.02,-2.6e-13
3,0.03,-1.36e-13
4,0.04,-8e-15
5,0.05,-4.0000000000000006e-14
6,0.06,-1.65e-13
7,0.07,-2.540000000000001e-13
8,0.08,-1.4e-14
9,0.09,-2.7e-13
10,0.1,8.7e-14
11,0.11,6.7e-14
12,0.12,6.2e-14
13,0.13,-3.110000000000001e-13
14,0.14,1.3e-14
15,0.15,4.8e-14
16,0.16,3.1e-14
17,0.17,5.1e-14
18,0.18,-1.8400000000000002e-13
19,0.19,2.2600000000000002e-13
20,0.2,1.5000000000000002e-14
21,0.21,-2.2700000000000002e-13
22,0.22,8.5e-14
23,0.23,-1.9500000000000005e-13
24,0.24,-1.6e-14
25,0.25,-1.64e-13
26,0.26,-6.600000000000001e-14
27,0.27,2.2e-14
28,0.28,-9.8e-14
29,0.29,-2.1e-14
30,0.3,-1.3900000000000001e-13
31,0.31,4.6000000000000006e-14
32,0.32,-5.5000000000000005e-14
33,0.33,2.9e-14
34,0.34,-1.1e-14
35,0.35,1.1000000000000001e-13
36,0.36,-9.7e-14
37,0.37,1.4e-14
38,0.38,5.5000000000000005e-14
39,0.39,-4.8e-14
40,0.4,-2.9e-14
41,0.41,1.23e-13
42,0.42,1.12e-13
43,0.43,4.3000000000000006e-14
44,0.44,2.4e-14
45,0.45,-2.94e-13
46,0.46,-1.71e-13
47,0.47,7e-15
48,0.48,-2.1e-14
49,0.49,-3.6000000000000004e-14
50,0.5,-3.0000000000000002e-15
51,0.51,-1.1e-14
52,0.52,2.6000000000000003e-14
53,0.53,2.7e-14
54,0.54,1.6700000000000005e-13
55,0.55,-2.2e-14
56,0.56,-8.600000000000001e-14
57,0.57,-5.5000000000000005e-14
58,0.58,-6.1e-14
59,0.59,-9e-14
60,0.6,1.16e-13
61,0.61,-1.59e-13
62,0.62,-1.8000000000000002e-14
63,0.63,-7e-15
64,0.64,1.3100000000000002e-13
65,0.65,1.36e-13
66,0.66,8.900000000000001e-14
67,0.67,1.2e-14
68,0.68,1.1300000000000001e-13
69,0.69,-6.000000000000001e-14
70,0.7,1.23e-13
71,0.71,1.58e-13
72,0.72,1.2100000000000004e-13
73,0.73,6.600000000000001e-14
74,0.74,6.1e-14
75,0.75,7.3e-14
76,0.76,-2.9e-14
77,0.77,4.0000000000000006e-14
78,0.78,1.18e-13
79,0.79,-8.8e-14
80,0.8,-1.8000000000000002e-14
81,0.81,-3.4e-14
82,0.82,1.89e-13
83,0.83,3.3000000000000005e-14
84,0.84,2.0000000000000003e-14
85,0.85,8.2e-14
86,0.86,1.3e-14
87,0.87,1.9200000000000001e-13
88,0.88,1.5600000000000004e-13
89,0.89,1.6100000000000005e-13
90,0.9,4.2e-14
91,0.91,2.35e-13
92,0.92,1.17e-13
93,0.93,1.18e-13
94,0.94,1.5600000000000004e-13
95,0.95,7.3e-14
96,0.96,2.9e-14
97,0.97,1.1500000000000004e-13
98,0.98,1.12e-13
99,0.99,2.06e-13
100,1.0,1.54e-13
101,1.01,9.8e-14
102,1.02,2.11e-13
103,1.03,1.7e-13
104,1.04,3.490000000000001e-13
105,1.05,2.9700000000000005e-13
106,1.06,2.1600000000000001e-13
107,1.07,9.3e-14
108,1.08,1.54e-13
109,1.09,1.3700000000000002e-13
110,1.1,3.240000000000001e-13
111,1.11,1.75e-13
112,1.12,2.06e-13
113,1.13,2.880000000000001e-13
114,1.14,3.010000000000001e-13
115,1.15,2.7500000000000004e-13
116,1.16,3.110000000000001e-13
117,1.17,2.6e-13
118,1.18,3.03e-13
119,1.19,2.900000000000001e-13
120,1.2,3.5e-13
121,1.21,4.250000000000001e-13
122,1.22,3.7000000000000004e-13
123,1.23,2.770000000000001e-13
124,1.24,3.340000000000001e-13
125,1.25,3.7300000000000003e-13
126,1.26,4.4100000000000004e-13
127,1.27,4e-13
128,1.28,4.490000000000001e-13
129,1.29,2.83e-13
130,1.3,3.120000000000001e-13
131,1.31,4.0700000000000003e-13
132,1.32,4.840000000000002e-13
133,1.33,3.8100000000000004e-13
134,1.34,3.590000000000001e-13
135,1.35,5.520000000000002e-13
136,1.36,6.29e-13
137,1.37,5.58e-13
138,1.38,5.790000000000002e-13
139,1.39,4.97e-13
140,1.4,4.0700000000000003e-13
141,1.41,7.48e-13
142,1.42,5.88e-13
143,1.43,6.980000000000002e-13
144,1.44,4.840000000000002e-13
145,1.45,6.470000000000002e-13
146,1.46,5.17e-13
147,1.47,7.53e-13
148,1.48,7.31e-13
149,1.49,7.920000000000001e-13
150,1.5,7.390000000000001e-13
151,1.51,8.270000000000002e-13
152,1.52,7.910000000000001e-13
153,1.53,9.030000000000002e-13
154,1.54,8.760000000000001e-13
155,1.55,8.620000000000001e-13
156,1.56,9.63e-13
157,1.57,1.143e-12
158,1.58,9.72e-13
159,1.59,1.065e-12
160,1.6,1.003e-12
161,1.61,9.930000000000001e-13
162,1.62,1.028e-12
163,1.63,1.088e-12
164,1.64,1.17e-12
165,1.65,1.1710000000000002e-12
166,1.66,1.287e-12
167,1.67,1.2080000000000001e-12
168,1.68,1.3820000000000002e-12
169,1.69,1.333e-12
170,1.7,1.404e-12
171,1.71,1.4860000000000001e-12
172,1.72,1.5160000000000002e-12
173,1.73,1.548e-12
174,1.74,1.642e-12
175,1.75,1.732e-12
176,1.76,1.8820000000000007e-12
177,1.77,1.7730000000000002e-12
178,1.78,1.7640000000000004e-12
179,1.79,1.8530000000000003e-12
180,1.8,1.9200000000000003e-12
181,1.81,2.051e-12
182,1.82,2.026e-12
183,1.83,2.006e-12
184,1.84,2.094e-12
185,1.85,2.143e-12
186,1.86,2.2750000000000003e-12
187,1.87,2.3790000000000007e-12
188,1.88,2.4840000000000003e-12
189,1.89,2.473e-12
190,1.9,2.452e-12
191,1.91,2.7340000000000007e-12
192,1.92,2.7300000000000007e-12
193,1.93,2.824e-12
194,1.94,2.9230000000000004e-12
195,1.95,2.941e-12
196,1.96,2.988e-12
197,1.97,3.0970000000000002e-12
198,1.98,3.2140000000000002e-12
199,1.99,3.2910000000000004e-12
200,2.0,3.3060000000000007e-12
201,2.01,3.242e-12
202,2.02,3.451e-12
203,2.03,3.5580000000000004e-12
204,2.04,3.81e-12
205,2.05,3.673e-12
206,2.06,3.871e-12
207,2.07,3.989e-12
208,2.08,4.045000000000001e-12
209,2.09,4.304e-12
210,2.1,4.298000000000001e-12
211,2.11,4.496e-12
212,2.12,4.461000000000001e-12
213,2.13,4.525e-12
214,2.14,4.748e-12
215,2.15,4.798e-12
216,2.16,4.982e-12
217,2.17,4.901e-12
218,2.18,5.202000000000001e-12
219,2.19,5.466e-12
220,2.2,5.404000000000001e-12
221,2.21,5.657000000000001e-12
222,2.22,5.710000000000001e-12
223,2.23,5.963e-12
224,2.24,6.103e-12
225,2.25,6.339e-12
226,2.26,6.455e-12
227,2.27,6.506000000000001e-12
228,2.28,6.677000000000001e-12
229,2.29,6.913000000000001e-12
230,2.3000000000000003,6.894e-12
231,2.31,7.1480000000000015e-12
232,2.32,7.274e-12
233,2.33,7.457000000000001e-12
234,2.34,7.75e-12
235,2.35,7.971e-12
236,2.36,8.213e-12
237,2.37,8.487000000000001e-12
238,2.38,8.693000000000001e-12
239,2.39,8.815e-12
240,2.4,9.04e-12
241,2.41,9.287000000000001e-12
242,2.42,9.591e-12
243,2.43,9.76e-12
244,2.44,9.876e-12
245,2.45,1.012e-11
246,2.46,1.0273e-11
247,2.47,1.0907e-11
248,2.48,1.1044e-11
249,2.49,1.1169e-11
250,2.5,1.1518000000000002e-11
251,2.51,1.1743e-11
252,2.52,1.2025e-11
253,2.53,1.2388e-11
254,2.54,1.2758e-11
255,2.5500000000000003,1.2924e-11
256,2.56,1.3377000000000002e-11
257,2.57,1.3649e-11
258,2.58,1.3784000000000002e-11
259,2.59,1.4481000000000002e-11
260,2.6,1.4629e-11
261,2.61,1.491e-11
262,2.62,1.5453000000000002e-11
263,2.63,1.6427000000000002e-11
264,2.64,1.6816e-11
265,2.65,1.7380000000000002e-11
266,2.66,1.763e-11
267,2.67,1.7798e-11
268,2.68,1.8091e-11
269,2.69,1.8697e-11
270,2.7,1.9109e-11
271,2.71,1.9667e-11
